Subject,Course Number,Section,CRN,Course Title,Credit Hours,Campus,Schedule Type,Instructor,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 12,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
GEOG,3120,001,11102,Fndmntls Geographic Info Systm,4.0,Main Campus or Dubois Campus,Lecture,Jordan Blekking (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,420,08/17/2026,12/10/2026WednesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 420 Start Date: 08/17/2026 End Date: 12/10/2026,30,0,3.0,3.0
GEOG,3250,001,12024,World Food Problems,3.0,Main Campus or Dubois Campus,Lecture,Jamie Strickland (Primary),,,,,"Monday,Wednesday,Friday",10:10  AM,11:00  AM,McEniry,127,08/17/2026,12/10/2026,35,19,5.0,5.0
GEOG,4000,002,15805,Topics in Geography: Environmental Policy Analysis,3.0,Main Campus or Dubois Campus,Lecture,Isabelle Nilsson (Primary),,,,,"Tuesday,Thursday",11:30  AM,12:45  PM,McEniry,117,08/17/2026,12/10/2026,0,0,,
GEOG,4000,004,17723,Topics in Geography: Water Management and Policy in the U.S.,3.0,Main Campus or Dubois Campus,Lecture,Alexandra Turgul (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,201,08/17/2026,12/10/2026,15,12,,
GEOG,4180,001,11103,Web GIS,3.0,Main Campus or Dubois Campus,Lecture,Wenwu Tang (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,431,08/17/2026,12/10/2026,20,15,2.0,2.0
GEOG,5000,002,17724,Topics in Geography: Water Management and Policy in the U.S.,3.0,Main Campus or Dubois Campus,Lecture,Alexandra Turgul (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,201,08/17/2026,12/10/2026,5,3,,
GEOG,5180,001,12012,Web GIS,3.0,Main Campus or Dubois Campus,Lecture,Wenwu Tang (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,431,08/17/2026,12/10/2026,10,9,3.0,3.0
GEOG,6005,002,14189,Topics in Earth and Environmental Systems: Climate Science,3.0,Main Campus or Dubois Campus,Lecture,Ian Chang (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,116,08/17/2026,12/10/2026,10,0,,
GEOG,6125,001,12081,Geographic Information Science and Technology,4.0,Main Campus or Dubois Campus,Lecture/Lab,Yao Li (Primary),,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,431,08/17/2026,12/10/2026TuesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 431 Start Date: 08/17/2026 End Date: 12/10/2026,10,0,,
GEOG,6130,001,15581,Teaching and Learning in the Geosciences,3.0,Main Campus or Dubois Campus,Lecture,Casey Davenport (Primary),,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,203,08/17/2026,12/10/2026,5,2,,
GEOG,6210,001,15579,The Restructuring City,3.0,Main Campus or Dubois Campus,Lecture,Colleen Hammelman (Primary),,,,,Wednesday,02:30  PM,05:15  PM,McEniry,117,08/17/2026,12/10/2026,10,0,1.0,1.0
GEOG,8005,001,14051,Topics in Earth and Environmental Systems: Climate Science,3.0,Main Campus or Dubois Campus,Lecture,Ian Chang (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,116,08/17/2026,12/10/2026,3,3,,
GEOG,8125,001,11571,Geographic Information Science and Technology,4.0,Main Campus or Dubois Campus,Lecture,Yao Li (Primary),,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,431,08/17/2026,12/10/2026TuesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 431 Start Date: 08/17/2026 End Date: 12/10/2026,10,7,,
