Subject,Course Number,Section,CRN,Course Title,Credit Hours,Campus,Schedule Type,Instructor,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 12,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
METR,1102L,L01,12029,Introduction to Meteorology Lab,1,Main Campus or Dubois Campus,Lab,Terry Shirley (Primary),Natural Science Requirement,,,,Tuesday,2:30 PM,5:15 PM,McEniry,203,08/17/2026,12/10/2026,23,5,2,2
METR,1102L,L02,12030,Introduction to Meteorology Lab,1,Main Campus or Dubois Campus,Lab,Terry Shirley (Primary),Natural Science Requirement,,,,Monday,2:30 PM,5:15 PM,McEniry,203,08/17/2026,12/10/2026,23,2,2,2
METR,1102L,L03,12031,Introduction to Meteorology Lab,1,Main Campus or Dubois Campus,Lab,Terry Shirley (Primary),Natural Science Requirement,,,,Thursday,2:30 PM,5:15 PM,McEniry,203,08/17/2026,12/10/2026,23,15,2,2
METR,1600,1,13800,First-Year Meteorology Seminar,1,Main Campus or Dubois Campus,Seminar,Casey Davenport (Primary),,,,,Wednesday,10:10 AM,11:00 AM,McEniry,123,08/17/2026,12/10/2026,40,28,2,2
METR,3140,1,10411,Fundamentals of Meteorology,3,Main Campus or Dubois Campus,Lecture,Terry Shirley (Primary),,,,,"Monday,Wednesday,Friday",12:20 PM,1:10 PM,McEniry,123,08/17/2026,12/10/2026,45,16,5,5
METR,4110,1,11214,Atmospheric Instrumentation,3,Main Campus or Dubois Campus,Lecture,Matthew Eastin (Primary),,,,,"Monday,Wednesday,Friday",11:15 AM,12:05 PM,McEniry,203,08/17/2026,12/10/2026,15,0,3,2
METR,4245,1,10415,Adv Synoptic Meteorology,3,Main Campus or Dubois Campus,Lecture,Matthew Eastin (Primary),,,,,"Monday,Wednesday",2:30 PM,3:45 PM,McEniry,401,08/17/2026,12/10/2026,25,11,2,2
METR,4250,1,11356,Adv Dynamic Meteorology,3,Main Campus or Dubois Campus,Lecture,Casey Davenport (Primary),,,,,"Tuesday,Thursday",11:30 AM,12:45 PM,McEniry,405,08/17/2026,12/10/2026,20,7,2,2
METR,4320,1,10960,Tropical Meteorology,3,Main Campus or Dubois Campus,Lecture,Matthew Eastin (Primary),,,,,"Monday,Wednesday",4:00 PM,5:15 PM,McEniry,401,08/17/2026,12/10/2026,15,5,,
NUNP,6250,90,10181,Advanced Primary Care and Health Promotion of Adults Across the Lifespan,3,Main Campus or Dubois Campus,Lecture,Cory Sheeler (Primary),,,,,Monday,5:30 PM,8:00 PM,McEniry,127,08/17/2026,12/10/2026,40,0,,
